year,tournament,opening_date,group,country,rank_by_total_value,coach,player_count,matched_player_count,valued_player_count,before_or_on_valuation_count,after_valuation_count,missing_value_count,value_coverage_percent,total_value_eur,total_value_million_eur,average_value_million_eur,median_value_million_eur,top_player_name,top_player_value_million_eur,source_url
2006,2006 FIFA World Cup,2006-06-09,Group C,Serbia and Montenegro,13,Ilija Petković,23,7,7,7,0,16,30.4,48250000,48.3,2.1,4.5,Dejan Stanković,22,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group E,Ghana,14,Ratomir Dujković,23,7,7,7,0,16,30.4,47150000,47.2,2.1,2,Michael Essien,36.5,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group F,Croatia,15,Zlatko Kranjčar,23,8,8,8,0,15,34.8,37000000,37,1.6,3.7,Ivan Klasnić,12,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group H,Ukraine,16,Oleg Blokhin,23,8,8,8,0,15,34.8,22000000,22,1,2.4,Anatoliy Tymoshchuk,6,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group G,Switzerland,17,Köbi Kuhn,23,7,7,7,0,16,30.4,20150000,20.2,0.9,2,Valon Behrami,6,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group B,Paraguay,18,Aníbal Ruiz,23,4,4,3,1,19,17.4,11380000,11.4,0.5,2.4,Nelson Haedo Valdez,5,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group G,Togo,19,Otto Pfister,23,3,3,2,1,20,13,11000000,11,0.5,0.6,Emmanuel Adebayor,10,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group A,Poland,20,Paweł Janas,23,3,3,3,0,20,13,10950000,11,0.5,4.3,Artur Boruc,4.5,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group E,United States,21,Bruce Arena,23,3,3,3,0,20,13,9000000,9,0.4,3,Oguchi Onyewu,5,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group H,Tunisia,22,Roger Lemerre,23,4,4,4,0,19,17.4,7900000,7.9,0.3,1.5,Karim Haggui,4,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group F,Australia,23,Guus Hiddink,23,3,3,2,1,20,13,4550000,4.6,0.2,0.5,Mark Schwarzer,3.8,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group A,Ecuador,24,Luis Fernando Suárez,23,1,1,1,0,22,4.3,2250000,2.3,0.1,2.3,Antonio Valencia,2.3,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group D,Mexico,25,Ricardo La Volpe,23,4,3,1,2,20,13,1600000,1.6,0.1,0.6,Francisco Javier Rodríguez,0.7,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group A,Costa Rica,26,Alexandre Guimarães,23,4,3,2,1,20,13,1500000,1.5,0.1,0.6,Christian Bolaños,0.7,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group D,Angola,27,Luis Oliveira Gonçalves,23,3,3,2,1,20,13,1275000,1.3,0.1,0.4,Mateus,0.8,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group B,Trinidad and Tobago,28,Leo Beenhakker,23,2,2,2,0,21,8.7,1050000,1.1,0,0.5,Kenwyne Jones,0.8,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group G,South Korea,29,Dick Advocaat,23,1,1,1,0,22,4.3,1000000,1,0,1,Park Chu-young,1,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group D,Iran,30,Branko Ivanković,23,2,2,1,1,21,8.7,450000,0.5,0,0.2,Masoud Shojaei,0.4,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group F,Japan,31,Zico,23,0,0,0,0,23,0,0,0,0,,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group H,Saudi Arabia,32,Marcos Paquetá,23,0,0,0,0,23,0,0,0,0,,,,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group H,Spain,1,Vicente del Bosque,23,23,23,23,0,0,100,650000000,650,28.3,25,Xavi,65,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group C,England,2,Fabio Capello,23,18,18,18,0,5,78.3,415000000,415,18,17.5,Wayne Rooney,53,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group A,France,3,Raymond Domenech,23,22,22,22,0,1,95.7,355500000,355.5,15.5,14.3,Franck Ribéry,50,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group B,Argentina,4,Diego Maradona,23,15,15,15,0,8,65.2,305000000,305,13.3,10,Lionel Messi,80,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group F,Italy,5,Marcello Lippi,23,19,19,19,0,4,82.6,295000000,295,12.8,15,Daniele De Rossi,38,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group D,Germany,6,Joachim Löw,23,21,21,21,0,2,91.3,281000000,281,12.2,12,Mario Gómez,27.5,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group G,Brazil,7,Carlos Dunga,23,15,15,14,1,8,65.2,272000000,272,11.8,16,Kaká,50,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group G,Portugal,8,Carlos Queiroz,23,19,19,19,0,4,82.6,245800000,245.8,10.7,8.8,Cristiano Ronaldo,75,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group E,Netherlands,9,Bert van Marwijk,23,20,20,20,0,3,87,240800000,240.8,10.5,8.3,Arjen Robben,38,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group D,Serbia,10,Radomir Antić,23,17,17,17,0,6,73.9,170550000,170.6,7.4,8.5,Nemanja Vidić,35,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group G,Ivory Coast,11,Sven-Göran Eriksson,23,18,18,17,1,5,78.3,158850000,158.9,6.9,6.5,Didier Drogba,38,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group E,Cameroon,12,Paul Le Guen,23,17,17,17,0,6,73.9,127650000,127.7,5.6,4,Samuel Eto'o,40,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group A,Uruguay,13,Óscar Tabárez,23,15,13,13,0,10,56.5,91500000,91.5,4,7,Luis Suárez,20,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group E,Denmark,14,Morten Olsen,23,21,21,21,0,2,91.3,79000000,79,3.4,2.5,Simon Kjær,12,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group H,Switzerland,15,Ottmar Hitzfeld,23,14,14,14,0,9,60.9,77750000,77.8,3.4,4.5,Diego Benaglio,10,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group F,Slovakia,16,Vladimír Weiss Sr.,23,19,19,19,0,4,82.6,77600000,77.6,3.4,2.3,Marek Hamšík,24,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group B,Nigeria,17,Lars Lagerbäck,23,14,14,14,0,9,60.9,71200000,71.2,3.1,3.8,Taye Taiwo,10.5,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group H,Chile,18,Marcelo Bielsa,23,14,14,14,0,9,60.9,59050000,59.1,2.6,4.5,Arturo Vidal,9,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group D,Ghana,19,Milovan Rajevac,23,14,14,14,0,9,60.9,46550000,46.6,2,2.1,Sulley Muntari,13,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group F,Paraguay,20,Gerardo Martino,23,7,7,7,0,16,30.4,45000000,45,2,4,Óscar Cardozo,12.5,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group B,Greece,21,Otto Rehhagel,23,13,13,13,0,10,56.5,42250000,42.3,1.8,2.5,Sotiris Ninis,7.5,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group A,Mexico,22,Javier Aguirre,23,7,6,6,0,17,26.1,36500000,36.5,1.6,4.5,Andrés Guardado,12,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group C,United States,23,Bob Bradley,23,9,9,9,0,14,39.1,36000000,36,1.6,3,Tim Howard,9.5,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
2010,2010 FIFA World Cup,2010-06-11,Group C,Slovenia,24,Matjaž Kek,23,13,13,13,0,10,56.5,28150000,28.2,1.2,1.5,Samir Handanović,9.5,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_squads
