year,country,player_name,birth_date,position,squad_club,match_status,match_confidence,match_reason,transfermarkt_player_id,transfermarkt_name,value_eur,valuation_date,squad_source_url
1998,Morocco,Salaheddine Bassir,1972-09-05,FW,Deportivo La Coruña,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Lahcen Abrami,1969-12-31,DF,Wydad Casablanca,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Rachid Azzouzi,1971-01-10,MF,Greuther Fürth,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Gharib Amzine,1973-05-03,MF,Mulhouse,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Youssef Chippo,1973-05-10,MF,Porto,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Jamal Sellami,1970-10-06,DF,Raja Casablanca,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Tahar El Khalej,1968-06-16,DF,Benfica,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Rachid Rokki,1974-11-08,FW,Chabab Mohammédia,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Mustapha Chadili,1973-02-14,GK,Raja Casablanca,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Frode Grodås,1964-10-24,GK,Tottenham Hotspur,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Gunnar Halle,1965-08-11,DF,Leeds United,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Ronny Johnsen,1969-06-10,DF,Manchester United,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Henning Berg,1969-09-01,DF,Manchester United,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Stig Inge Bjørnebye,1969-12-11,DF,Liverpool,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Ståle Solbakken,1968-02-27,MF,AaB,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Erik Mykland,1971-07-21,MF,Panathinaikos,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Øyvind Leonhardsen,1970-08-17,MF,Liverpool,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Tore André Flo,1973-06-15,FW,Chelsea,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Kjetil Rekdal,1968-11-06,MF,Hertha BSC,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Mini Jakobsen,1965-11-08,MF,Rosenborg,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Thomas Myhre,1973-10-16,GK,Everton,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Espen Baardsen,1977-12-07,GK,Tottenham Hotspur,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Vegard Heggem,1975-07-13,DF,Rosenborg,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Dan Eggen,1970-01-13,DF,Celta Vigo,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Jostein Flo,1964-10-03,FW,Strømsgodset,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Håvard Flo,1970-04-04,FW,Werder Bremen,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Egil Østenstad,1972-01-02,FW,Southampton,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Erik Hoftun,1969-03-03,DF,Rosenborg,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Ole Gunnar Solskjær,1973-02-26,FW,Manchester United,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Vidar Riseth,1972-04-21,DF,LASK,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Norway,Roar Strand,1970-02-02,MF,Rosenborg,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Jim Leighton,1958-07-24,GK,Aberdeen,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Jackie McNamara,1973-10-24,MF,Celtic,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Tom Boyd,1965-11-24,DF,Celtic,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Colin Calderwood,1965-01-20,DF,Tottenham Hotspur,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Colin Hendry,1965-12-07,DF,Blackburn Rovers,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Tosh McKinlay,1964-12-03,DF,Celtic,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Kevin Gallacher,1966-11-23,FW,Blackburn Rovers,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Craig Burley,1971-09-24,MF,Celtic,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Gordon Durie,1965-12-06,FW,Rangers,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Darren Jackson,1966-07-25,FW,Celtic,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,John Collins,1968-01-31,MF,Monaco,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Neil Sullivan,1970-02-24,GK,Wimbledon,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Simon Donnelly,1974-12-01,FW,Celtic,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Paul Lambert,1969-08-07,MF,Celtic,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Scot Gemmill,1971-01-02,MF,Nottingham Forest,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,David Weir,1970-05-10,DF,Heart of Midlothian,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Billy McKinlay,1969-04-22,MF,Blackburn Rovers,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Matt Elliott,1968-11-01,DF,Leicester City,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Derek Whyte,1968-08-31,DF,Aberdeen,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Scott Booth,1971-12-16,FW,FC Utrecht,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Jonathan Gould,1968-07-18,GK,Celtic,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Scotland,Christian Dailly,1973-10-23,DF,Derby County,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Michael Konsel,1962-03-06,GK,Roma,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Markus Schopp,1974-02-22,MF,Sturm Graz,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Peter Schöttel,1967-03-26,DF,Rapid Wien,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Anton Pfeffer,1965-08-17,DF,Austria Wien,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Wolfgang Feiersinger,1965-01-30,DF,Borussia Dortmund,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Walter Kogler,1967-12-12,DF,Cannes,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Mario Haas,1974-09-16,FW,Sturm Graz,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Heimo Pfeifenberger,1966-12-29,MF,Werder Bremen,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Ivica Vastić,1969-09-29,FW,Sturm Graz,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Andi Herzog,1968-09-10,MF,Werder Bremen,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Martin Amerhauser,1974-07-23,MF,Austria Salzburg,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Martin Hiden,1973-03-11,DF,Leeds United,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Harald Cerny,1973-09-13,MF,1860 Munich,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Hannes Reinmayr,1969-08-23,FW,Sturm Graz,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Arnold Wetl,1970-02-02,MF,Rapid Wien,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Franz Wohlfahrt,1964-07-01,GK,VfB Stuttgart,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Roman Mählich,1971-09-17,MF,Sturm Graz,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Peter Stöger,1966-04-11,MF,LASK,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Toni Polster,1964-03-10,FW,1. FC Köln,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Andreas Heraf,1967-09-10,MF,Rapid Wien,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Wolfgang Knaller,1961-10-09,GK,Austria Wien,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Austria,Dietmar Kühbauer,1971-04-04,MF,Real Sociedad,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,Jacques Songo'o,1964-03-17,GK,Deportivo La Coruña,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,Joseph Elanga,1979-05-02,DF,Tonnerre Yaoundé,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,Pierre Womé,1979-03-26,DF,Lucchese,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,Rigobert Song,1976-07-01,DF,Metz,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,Raymond Kalla,1975-04-22,DF,Panachaiki,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,Pierre Njanka,1975-03-15,DF,Olympic Mvolyé,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,François Omam-Biyik,1966-05-21,FW,Sampdoria,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,Didier Angibeaud,1974-10-08,MF,Nice,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,Alphonse Tchami,1971-09-14,FW,Hertha BSC,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,Patrick Mboma,1970-11-15,FW,Gamba Osaka,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,Lauren,1977-01-19,DF,Levante,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,Patrice Abanda,1978-08-03,DF,Tonnerre Yaoundé,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,Augustine Simo,1978-09-18,MF,Saint-Étienne,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,Joseph Ndo,1976-04-28,MF,Coton Sport,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,William Andem,1968-06-14,GK,Boavista,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,Michel Pensée,1973-06-16,DF,Cheonan Ilhwa Chunma,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,Samuel Ipoua,1973-03-01,FW,Rapid Wien,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,Marcel Mahouvé,1973-01-16,MF,Montpellier,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,Salomon Olembé,1980-12-08,MF,Nantes,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,Joseph-Désiré Job,1977-12-01,FW,Lyon,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Cameroon,Alioum Boukar,1972-01-03,GK,Samsunspor,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Nelson Tapia,1966-09-22,GK,Universidad Católica,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Cristián Castañeda,1968-09-18,DF,Universidad de Chile,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Ronald Fuentes,1969-06-22,DF,Universidad de Chile,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Francisco Rojas,1974-07-22,DF,Colo-Colo,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Javier Margas,1969-05-10,DF,Universidad Católica,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Pedro Reyes,1972-11-13,DF,Colo-Colo,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Nelson Parraguez,1971-04-05,MF,Universidad Católica,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Clarence Acuña,1975-02-08,MF,Universidad de Chile,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Iván Zamorano,1967-01-18,FW,Inter Milan,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,José Luis Sierra,1968-12-05,MF,Colo-Colo,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Marcelo Salas,1974-12-24,FW,River Plate,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Marcelo Ramírez,1965-05-29,GK,Colo-Colo,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Manuel Neira,1977-10-12,FW,Colo-Colo,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Miguel Ramírez,1970-06-11,DF,Universidad Católica,matched,0.7,unique_name,846367,Miguel Ramírez,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Moisés Villarroel,1976-02-12,DF,Santiago Wanderers,matched,0.7,unique_name,431863,Moisés Villarroel,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Mauricio Aros,1976-03-09,DF,Universidad de Chile,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Marcelo Vega,1971-08-12,MF,MetroStars,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Luis Musrri,1969-12-24,MF,Universidad de Chile,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Fernando Cornejo,1969-01-28,MF,Universidad Católica,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Fabián Estay,1968-10-05,MF,Toluca,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Rodrigo Barrera,1970-03-30,FW,Universidad de Chile,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Chile,Carlos Tejas,1974-10-04,GK,Coquimbo Unido,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Italy,Francesco Toldo,1971-12-02,GK,Fiorentina,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Italy,Giuseppe Bergomi,1963-12-22,DF,Inter Milan,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Italy,Paolo Maldini,1968-06-26,DF,Milan,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Italy,Fabio Cannavaro,1973-09-13,DF,Parma,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Italy,Alessandro Costacurta,1966-04-24,DF,Milan,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Italy,Alessandro Nesta,1976-03-19,DF,Lazio,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Italy,Gianluca Pessotto,1970-08-11,DF,Juventus,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Italy,Moreno Torricelli,1970-01-23,DF,Juventus,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Italy,Demetrio Albertini,1971-08-23,MF,Milan,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Italy,Alessandro Del Piero,1974-11-09,FW,Juventus,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Italy,Dino Baggio,1971-07-24,MF,Parma,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Italy,Gianluca Pagliuca,1966-12-18,GK,Inter Milan,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Italy,Sandro Cois,1972-06-09,MF,Fiorentina,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
