year,tournament,opening_date,group,country,country_rank_by_total_value,coach,player_order,shirt_number,position,player_name,birth_date,age,is_captain,squad_club,caps,goals,transfermarkt_player_id,transfermarkt_name,transfermarkt_country,transfermarkt_position,transfermarkt_sub_position,match_status,match_confidence,match_reason,value_eur,value_million_eur,valuation_date,valuation_method,valuation_day_offset,valuation_source,valuation_club,valuation_competition_id,transfermarkt_player_url,transfermarkt_image_url,squad_source_url
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,11,11,MF,Emerson,1976-04-04,22,false,Bayer Leverkusen,3,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,12,12,GK,Carlos Germano,1970-08-14,27,false,Vasco da Gama,9,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,13,13,DF,Zé Carlos,1968-11-14,29,false,São Paulo,0,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,14,14,DF,Marcelo Gonçalves,1966-02-22,32,false,Botafogo,22,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,15,15,DF,André Cruz,1968-09-20,29,false,Milan,31,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,16,16,MF,Zé Roberto,1974-07-06,23,false,Flamengo,20,0,305428,Zé Roberto,Brazil,Attack,Centre-Forward,matched,0.7,unique_name,0,0,,zero_filled_missing,,,,,https://www.transfermarkt.co.uk/ze-roberto/profil/spieler/305428,https://img.a.transfermarkt.technology/portrait/header/305428-1580407394.jpg?lm=1,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,17,17,MF,Doriva,1972-05-28,26,false,Porto,11,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,18,18,MF,Leonardo,1969-09-05,28,false,Milan,45,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,19,19,MF,Denílson,1977-08-24,20,false,São Paulo,26,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,20,20,FW,Bebeto,1964-02-16,34,false,Botafogo,68,0,124548,Bebeto,Brazil,Defender,Right-Back,matched,0.7,unique_name,50000,0.1,2009-08-23,first_after_opening,4092,player_valuations,Esporte Clube Bahia,PO1,https://www.transfermarkt.co.uk/bebeto/profil/spieler/124548,https://img.a.transfermarkt.technology/portrait/header/124548-1560104395.png?lm=1,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,21,21,FW,Edmundo,1971-04-02,27,false,Fiorentina,33,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,22,22,GK,Dida,1973-10-07,24,false,Cruzeiro,15,0,1054542,Dida,Brazil,Goalkeeper,Goalkeeper,matched,0.7,unique_name,75000,0.1,2022-12-28,first_after_opening,8967,player_valuations,CF Estrela Amadora,PO1,https://www.transfermarkt.co.uk/dida/profil/spieler/1054542,https://img.a.transfermarkt.technology/portrait/header/1054542-1668162910.png?lm=1,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,1,1,GK,Abdelkader El Brazi,1964-11-05,33,false,FAR Rabat,37,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,2,2,DF,Abdelilah Saber,1974-04-21,24,false,Sporting CP,25,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,3,3,DF,Abdelkrim El Hadrioui,1972-03-06,26,false,Benfica,59,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,4,4,DF,Youssef Rossi,1973-06-28,24,false,Rennes,20,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,5,5,DF,Smahi Triki,1967-08-01,30,false,Lausanne,16,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,6,6,DF,Noureddine Naybet,1970-02-10,28,true,Deportivo La Coruña,91,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,7,7,MF,Mustapha Hadji,1971-11-16,26,false,Deportivo La Coruña,42,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,8,8,MF,Saïd Chiba,1970-09-18,27,false,Compostela,23,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,9,9,FW,Abdeljalil Hadda,1972-03-21,26,false,Club Africain,11,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,10,10,FW,Abderrahim Ouakili,1970-12-11,27,false,1860 Munich,8,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,11,11,MF,Ali Elkhattabi,1977-01-17,21,false,Heerenveen,6,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,12,12,GK,Driss Benzekri,1970-12-31,27,false,RS Settat,6,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,13,13,DF,Rachid Neqrouz,1972-04-10,26,false,Bari,13,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,14,14,FW,Salaheddine Bassir,1972-09-05,25,false,Deportivo La Coruña,26,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,15,15,DF,Lahcen Abrami,1969-12-31,28,false,Wydad Casablanca,41,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,16,16,MF,Rachid Azzouzi,1971-01-10,27,false,Greuther Fürth,35,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,17,17,MF,Gharib Amzine,1973-05-03,25,false,Mulhouse,2,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,18,18,MF,Youssef Chippo,1973-05-10,25,false,Porto,20,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,19,19,DF,Jamal Sellami,1970-10-06,27,false,Raja Casablanca,0,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,20,20,DF,Tahar El Khalej,1968-06-16,29,false,Benfica,54,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,21,21,FW,Rachid Rokki,1974-11-08,23,false,Chabab Mohammédia,2,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,22,22,GK,Mustapha Chadili,1973-02-14,25,false,Raja Casablanca,0,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,1,1,GK,Frode Grodås,1964-10-24,33,true,Tottenham Hotspur,39,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,2,2,DF,Gunnar Halle,1965-08-11,32,false,Leeds United,60,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,3,3,DF,Ronny Johnsen,1969-06-10,29,false,Manchester United,33,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,4,4,DF,Henning Berg,1969-09-01,28,false,Manchester United,52,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,5,5,DF,Stig Inge Bjørnebye,1969-12-11,28,false,Liverpool,62,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,6,6,MF,Ståle Solbakken,1968-02-27,30,false,AaB,34,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,7,7,MF,Erik Mykland,1971-07-21,26,false,Panathinaikos,54,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,8,8,MF,Øyvind Leonhardsen,1970-08-17,27,false,Liverpool,55,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,9,9,FW,Tore André Flo,1973-06-15,24,false,Chelsea,25,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,10,10,MF,Kjetil Rekdal,1968-11-06,29,false,Hertha BSC,66,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,11,11,MF,Mini Jakobsen,1965-11-08,32,false,Rosenborg,64,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,12,12,GK,Thomas Myhre,1973-10-16,24,false,Everton,1,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,13,13,GK,Espen Baardsen,1977-12-07,20,false,Tottenham Hotspur,1,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,14,14,DF,Vegard Heggem,1975-07-13,22,false,Rosenborg,1,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,15,15,DF,Dan Eggen,1970-01-13,28,false,Celta Vigo,13,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,16,16,FW,Jostein Flo,1964-10-03,33,false,Strømsgodset,44,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,17,17,FW,Håvard Flo,1970-04-04,28,false,Werder Bremen,9,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,18,18,FW,Egil Østenstad,1972-01-02,26,false,Southampton,14,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,19,19,DF,Erik Hoftun,1969-03-03,29,false,Rosenborg,1,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,20,20,FW,Ole Gunnar Solskjær,1973-02-26,25,false,Manchester United,14,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,21,21,DF,Vidar Riseth,1972-04-21,26,false,LASK,4,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,22,22,MF,Roar Strand,1970-02-02,28,false,Rosenborg,5,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,1,1,GK,Jim Leighton,1958-07-24,39,false,Aberdeen,86,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,2,2,MF,Jackie McNamara,1973-10-24,24,false,Celtic,6,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,3,3,DF,Tom Boyd,1965-11-24,32,false,Celtic,55,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,4,4,DF,Colin Calderwood,1965-01-20,33,false,Tottenham Hotspur,28,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,5,5,DF,Colin Hendry,1965-12-07,32,true,Blackburn Rovers,32,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,6,6,DF,Tosh McKinlay,1964-12-03,33,false,Celtic,19,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,7,7,FW,Kevin Gallacher,1966-11-23,31,false,Blackburn Rovers,36,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,8,8,MF,Craig Burley,1971-09-24,26,false,Celtic,25,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,9,9,FW,Gordon Durie,1965-12-06,32,false,Rangers,40,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,10,10,FW,Darren Jackson,1966-07-25,31,false,Celtic,24,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,11,11,MF,John Collins,1968-01-31,30,false,Monaco,49,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,12,12,GK,Neil Sullivan,1970-02-24,28,false,Wimbledon,3,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,13,13,FW,Simon Donnelly,1974-12-01,23,false,Celtic,8,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,14,14,MF,Paul Lambert,1969-08-07,28,false,Celtic,12,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,15,15,MF,Scot Gemmill,1971-01-02,27,false,Nottingham Forest,13,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,16,16,DF,David Weir,1970-05-10,28,false,Heart of Midlothian,5,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,17,17,MF,Billy McKinlay,1969-04-22,29,false,Blackburn Rovers,25,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,18,18,DF,Matt Elliott,1968-11-01,29,false,Leicester City,3,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,19,19,DF,Derek Whyte,1968-08-31,29,false,Aberdeen,11,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,20,20,FW,Scott Booth,1971-12-16,26,false,FC Utrecht,16,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
