year,tournament,group,country,team_order,coach,player_count,goalkeepers,defenders,midfielders,forwards,unknown_positions,source_url
1930,1930 FIFA World Cup,Group 4,Belgium,13,Hector Goetinck,16,2,3,5,6,0,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup_squads
1934,1934 FIFA World Cup,,Argentina,1,Felipe Pascucci,18,2,4,5,7,0,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup_squads
1934,1934 FIFA World Cup,,Austria,2,Hugo Meisl,22,3,4,4,11,0,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup_squads
1934,1934 FIFA World Cup,,Belgium,3,Hector Goetinck,22,2,3,8,9,0,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup_squads
1934,1934 FIFA World Cup,,Brazil,4,Luiz Vinhaes,22,2,4,6,10,0,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup_squads
1934,1934 FIFA World Cup,,Czechoslovakia,5,Karel Petrů,22,2,4,7,9,0,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup_squads
1934,1934 FIFA World Cup,,Egypt,6,James McCrae,20,2,3,7,8,0,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup_squads
1934,1934 FIFA World Cup,,France,7,George Kimpton,22,3,4,7,8,0,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup_squads
1934,1934 FIFA World Cup,,Germany,8,Otto Nerz,22,3,5,5,9,0,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup_squads
1934,1934 FIFA World Cup,,Hungary,9,Ödön Nádas,22,2,4,7,9,0,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup_squads
1934,1934 FIFA World Cup,,Italy,10,Vittorio Pozzo,22,3,4,7,8,0,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup_squads
1934,1934 FIFA World Cup,,Netherlands,11,Bob Glendenning,22,3,3,5,11,0,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup_squads
1934,1934 FIFA World Cup,,Romania,12,Josef Uridil and Costel Rădulescu,22,3,5,5,9,0,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup_squads
1934,1934 FIFA World Cup,,Spain,13,Amadeo García,22,2,3,9,8,0,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup_squads
1934,1934 FIFA World Cup,,Sweden,14,József Nagy,21,3,3,4,11,0,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup_squads
1934,1934 FIFA World Cup,,Switzerland,15,Heinrich Müller,22,3,4,5,10,0,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup_squads
1934,1934 FIFA World Cup,,United States,16,David Gould,19,1,5,8,5,0,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup_squads
1938,1938 FIFA World Cup,,Italy,1,Vittorio Pozzo,22,3,3,9,7,0,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup_squads
1938,1938 FIFA World Cup,,Hungary,2,Károly Dietz,22,3,3,7,9,0,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup_squads
1938,1938 FIFA World Cup,,Brazil,3,Adhemar Pimenta,22,2,4,6,10,0,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup_squads
1938,1938 FIFA World Cup,,Sweden,4,József Nagy,22,2,4,5,11,0,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup_squads
1938,1938 FIFA World Cup,,Czechoslovakia,5,Josef Meissner,22,2,4,5,11,0,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup_squads
1938,1938 FIFA World Cup,,Switzerland,6,Karl Rappan,22,3,3,5,11,0,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup_squads
1938,1938 FIFA World Cup,,Cuba,7,José Tapia,15,2,2,3,8,0,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup_squads
1938,1938 FIFA World Cup,,France,8,Gaston Barreau,22,3,5,5,9,0,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup_squads
1938,1938 FIFA World Cup,,Romania,9,Alexandru Săvulescu and Costel Rădulescu,22,3,4,5,10,0,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup_squads
1938,1938 FIFA World Cup,,Germany,10,Sepp Herberger,22,3,5,5,9,0,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup_squads
1938,1938 FIFA World Cup,,Poland,11,Józef Kałuża,22,2,4,6,10,0,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup_squads
1938,1938 FIFA World Cup,,Norway,12,Asbjørn Halvorsen,22,3,6,5,8,0,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup_squads
1938,1938 FIFA World Cup,,Belgium,13,Jack Butler,22,3,5,5,9,0,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup_squads
1938,1938 FIFA World Cup,,Netherlands,14,Bob Glendenning,22,2,4,5,11,0,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup_squads
1938,1938 FIFA World Cup,,Dutch East Indies,15,Johan Mastenbroek,17,2,3,5,7,0,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup_squads
1950,1950 FIFA World Cup,Group 1,Brazil,1,Flávio Costa,22,2,4,6,10,0,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup_squads
1950,1950 FIFA World Cup,Group 1,Switzerland,2,Franco Andreoli,22,3,6,3,10,0,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup_squads
1950,1950 FIFA World Cup,Group 1,Yugoslavia,3,Milorad Arsenijević,22,2,6,6,8,0,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup_squads
1950,1950 FIFA World Cup,Group 1,Mexico,4,Octavio Vial,22,2,6,7,7,0,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup_squads
1950,1950 FIFA World Cup,Group 2,Spain,5,Guillermo Eizaguirre,22,3,6,6,7,0,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup_squads
1950,1950 FIFA World Cup,Group 2,England,6,Walter Winterbottom,21,2,6,5,8,0,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup_squads
1950,1950 FIFA World Cup,Group 2,Chile,7,Alberto Buccicardi,22,2,6,5,9,0,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup_squads
1950,1950 FIFA World Cup,Group 2,United States,8,William Jeffrey,18,2,3,4,9,0,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup_squads
1950,1950 FIFA World Cup,Group 3,Sweden,9,George Raynor,21,3,4,4,10,0,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup_squads
1950,1950 FIFA World Cup,Group 3,Italy,10,Ferruccio Novo,22,3,5,5,9,0,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup_squads
1950,1950 FIFA World Cup,Group 3,Paraguay,11,Manuel Fleitas Solich,22,2,5,4,11,0,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup_squads
1950,1950 FIFA World Cup,Group 4,Uruguay,12,Juan López,22,2,6,4,10,0,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup_squads
1950,1950 FIFA World Cup,Group 4,Bolivia,13,Mario Pretto,20,2,3,6,9,0,https://en.wikipedia.org/wiki/1950_FIFA_World_Cup_squads
1954,1954 FIFA World Cup,Group 1,Brazil,1,Zezé Moreira,22,3,6,5,8,0,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup_squads
1954,1954 FIFA World Cup,Group 1,Yugoslavia,2,Aleksandar Tirnanić,22,2,7,5,8,0,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup_squads
1954,1954 FIFA World Cup,Group 1,France,3,Pierre Pibarot,22,3,5,10,4,0,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup_squads
1954,1954 FIFA World Cup,Group 1,Mexico,4,Antonio López Herranz,22,2,5,4,11,0,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup_squads
1954,1954 FIFA World Cup,Group 2,Hungary,5,Gusztáv Sebes,22,3,5,5,9,0,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup_squads
1954,1954 FIFA World Cup,Group 2,West Germany,6,Sepp Herberger,22,3,6,5,8,0,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup_squads
1954,1954 FIFA World Cup,Group 2,Turkey,7,Sandro Puppo,22,2,9,3,8,0,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup_squads
1954,1954 FIFA World Cup,Group 2,South Korea,8,Kim Yong-sik,20,2,5,5,8,0,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup_squads
1954,1954 FIFA World Cup,Group 3,Uruguay,9,Juan López,22,2,4,6,10,0,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup_squads
1954,1954 FIFA World Cup,Group 3,Austria,10,Walter Nausch,22,3,4,8,7,0,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup_squads
1954,1954 FIFA World Cup,Group 3,Czechoslovakia,11,Karol Borhy,22,3,4,5,10,0,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup_squads
1954,1954 FIFA World Cup,Group 3,Scotland,12,Andy Beattie,22,2,5,3,12,0,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup_squads
1954,1954 FIFA World Cup,Group 4,England,13,Walter Winterbottom,22,2,3,7,10,0,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup_squads
1954,1954 FIFA World Cup,Group 4,Switzerland,14,Karl Rappan,22,3,4,7,8,0,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup_squads
1954,1954 FIFA World Cup,Group 4,Italy,15,Lajos Czeizler,22,3,4,6,9,0,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup_squads
1954,1954 FIFA World Cup,Group 4,Belgium,16,Doug Livingstone,22,3,5,7,7,0,https://en.wikipedia.org/wiki/1954_FIFA_World_Cup_squads
1958,1958 FIFA World Cup,Group 1,West Germany,1,Sepp Herberger,22,3,6,6,7,0,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads
1958,1958 FIFA World Cup,Group 1,Northern Ireland,2,Peter Doherty,22,3,5,3,11,0,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads
1958,1958 FIFA World Cup,Group 1,Czechoslovakia,3,Karel Kolský,22,3,6,4,9,0,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads
1958,1958 FIFA World Cup,Group 1,Argentina,4,Guillermo Stábile,22,2,7,3,10,0,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads
1958,1958 FIFA World Cup,Group 2,France,5,Albert Batteux,22,3,5,8,6,0,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads
1958,1958 FIFA World Cup,Group 2,Yugoslavia,6,Aleksandar Tirnanić,22,3,7,5,7,0,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads
1958,1958 FIFA World Cup,Group 2,Paraguay,7,Aurelio González,22,2,6,3,11,0,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads
1958,1958 FIFA World Cup,Group 2,Scotland,8,"Dawson Walker (officially only acting manager in place of Matt Busby , who was seriously injured in the Munich air disaster and unable to resume his duties in time for the tournament)",22,2,6,4,10,0,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads
1958,1958 FIFA World Cup,Group 3,Sweden,9,George Raynor,22,3,5,7,7,0,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads
1958,1958 FIFA World Cup,Group 3,Wales,10,Jimmy Murphy,22,3,5,6,8,0,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads
1958,1958 FIFA World Cup,Group 3,Hungary,11,Lajos Baróti,22,2,6,3,11,0,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads
1958,1958 FIFA World Cup,Group 3,Mexico,12,Antonio López Herranz,22,3,6,5,8,0,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads
1958,1958 FIFA World Cup,Group 4,Brazil,13,Vicente Feola,22,2,6,6,8,0,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads
1958,1958 FIFA World Cup,Group 4,Soviet Union,14,Gavriil Kachalin,22,3,6,3,10,0,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads
1958,1958 FIFA World Cup,Group 4,England,15,Walter Winterbottom,22,3,5,4,10,0,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads
1958,1958 FIFA World Cup,Group 4,Austria,16,Karl Argauer,22,3,6,4,9,0,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads
1962,1962 FIFA World Cup,Group 1,Soviet Union,1,Gavril Kachalin,22,3,5,7,7,0,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads
1962,1962 FIFA World Cup,Group 1,Yugoslavia,2,Ljubomir Lovrić and Prvoslav Mihajlović,22,3,7,7,5,0,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads
1962,1962 FIFA World Cup,Group 1,Uruguay,3,Juan Carlos Corazzo,22,2,7,6,7,0,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads
1962,1962 FIFA World Cup,Group 1,Colombia,4,Adolfo Pedernera,22,2,7,4,9,0,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads
1962,1962 FIFA World Cup,Group 2,West Germany,5,Sepp Herberger,22,3,7,6,6,0,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads
1962,1962 FIFA World Cup,Group 2,Chile,6,Fernando Riera,22,3,8,3,8,0,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads
1962,1962 FIFA World Cup,Group 2,Italy,7,Giovanni Ferrari and Paolo Mazza,22,3,8,4,7,0,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads
1962,1962 FIFA World Cup,Group 2,Switzerland,8,Karl Rappan,22,3,7,4,8,0,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads
1962,1962 FIFA World Cup,Group 3,Brazil,9,Aymoré Moreira,22,2,8,4,8,0,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads
1962,1962 FIFA World Cup,Group 3,Czechoslovakia,10,Rudolf Vytlačil,22,3,7,2,10,0,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads
1962,1962 FIFA World Cup,Group 3,Mexico,11,Ignacio Tréllez,22,3,6,5,8,0,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads
1962,1962 FIFA World Cup,Group 3,Spain,12,Helenio Herrera,22,3,9,5,5,0,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads
1962,1962 FIFA World Cup,Group 4,Hungary,13,Lajos Baróti,22,3,6,4,9,0,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads
1962,1962 FIFA World Cup,Group 4,England,14,Walter Winterbottom,22,2,6,7,7,0,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads
1962,1962 FIFA World Cup,Group 4,Argentina,15,Juan Carlos Lorenzo,22,2,8,4,8,0,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads
1962,1962 FIFA World Cup,Group 4,Bulgaria,16,Georgi Pachedzhiev,22,3,5,5,9,0,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads
1966,1966 FIFA World Cup,Group 1,England,1,Alf Ramsey,22,3,7,7,5,0,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads
1966,1966 FIFA World Cup,Group 1,France,2,Henri Guérin,22,3,8,5,6,0,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads
1966,1966 FIFA World Cup,Group 1,Mexico,3,Ignacio Tréllez,22,3,6,6,7,0,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads
1966,1966 FIFA World Cup,Group 1,Uruguay,4,Ondino Viera,22,3,8,6,5,0,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads
1966,1966 FIFA World Cup,Group 2,Argentina,5,Juan Carlos Lorenzo,22,3,5,7,7,0,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads
1966,1966 FIFA World Cup,Group 2,Spain,6,José Villalonga,22,3,6,8,5,0,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads
1966,1966 FIFA World Cup,Group 2,Switzerland,7,Alfredo Foni,22,3,6,8,5,0,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads
1966,1966 FIFA World Cup,Group 2,West Germany,8,Helmut Schön,22,3,8,4,7,0,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads
1966,1966 FIFA World Cup,Group 3,Brazil,9,Vicente Feola,22,2,8,6,6,0,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads
1966,1966 FIFA World Cup,Group 3,Bulgaria,10,Rudolf Vytlačil,22,3,7,5,7,0,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads
1966,1966 FIFA World Cup,Group 3,Hungary,11,Lajos Baróti,22,3,6,5,8,0,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads
1966,1966 FIFA World Cup,Group 3,Portugal,12,Otto Glória,22,3,6,8,5,0,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads
1966,1966 FIFA World Cup,Group 4,Chile,13,Luis Álamos,22,2,6,8,6,0,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads
1966,1966 FIFA World Cup,Group 4,Italy,14,Edmondo Fabbri,22,3,7,6,6,0,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads
1966,1966 FIFA World Cup,Group 4,North Korea,15,Myung Rye-hyun,22,3,7,6,6,0,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads
1966,1966 FIFA World Cup,Group 4,Soviet Union,16,Nikolai Morozov,22,3,6,6,7,0,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads
1970,1970 FIFA World Cup,Group 1,Mexico,1,Raúl Cárdenas,22,3,7,6,6,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads
1970,1970 FIFA World Cup,Group 1,Soviet Union,2,Gavril Kachalin,22,3,7,5,7,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads
1970,1970 FIFA World Cup,Group 1,Belgium,3,Raymond Goethals,22,3,5,8,6,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads
1970,1970 FIFA World Cup,Group 1,El Salvador,4,Hernán Carrasco,22,3,6,7,6,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads
1970,1970 FIFA World Cup,Group 2,Italy,5,Ferruccio Valcareggi,22,3,8,6,5,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads
1970,1970 FIFA World Cup,Group 2,Sweden,6,Orvar Bergmark,22,3,8,6,5,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads
1970,1970 FIFA World Cup,Group 2,Uruguay,7,Juan Hohberg,22,3,7,6,6,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads
1970,1970 FIFA World Cup,Group 2,Israel,8,Emmanuel Scheffer,22,3,6,7,6,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads
1970,1970 FIFA World Cup,Group 3,Brazil,9,Mário Zagallo,22,3,8,5,6,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads
1970,1970 FIFA World Cup,Group 3,England,10,Alf Ramsey,22,3,8,6,5,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads
1970,1970 FIFA World Cup,Group 3,Czechoslovakia,11,Jozef Marko,22,3,7,6,6,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads
1970,1970 FIFA World Cup,Group 3,Romania,12,Angelo Niculescu,22,3,7,6,6,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads
1970,1970 FIFA World Cup,Group 4,West Germany,13,Helmut Schön,22,3,7,5,7,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads
1970,1970 FIFA World Cup,Group 4,Peru,14,Didi,22,3,6,7,6,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads
1970,1970 FIFA World Cup,Group 4,Bulgaria,15,Stefan Bozhkov,22,3,8,5,6,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads
1970,1970 FIFA World Cup,Group 4,Morocco,16,Blagoje Vidinić,19,3,6,6,4,0,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads
1974,1974 FIFA World Cup,Group 1,West Germany,1,Helmut Schön,22,3,7,7,5,0,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads
1974,1974 FIFA World Cup,Group 1,East Germany,2,Georg Buschner,22,3,6,7,6,0,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads
1974,1974 FIFA World Cup,Group 1,Australia,3,Rale Rasic,22,3,7,8,4,0,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads
1974,1974 FIFA World Cup,Group 1,Chile,4,Luis Alamos,22,3,8,6,5,0,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads
1974,1974 FIFA World Cup,Group 2,Brazil,5,Mário Zagallo,22,3,7,6,6,0,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads
1974,1974 FIFA World Cup,Group 2,Scotland,6,Willie Ormond,22,3,8,6,5,0,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads
1974,1974 FIFA World Cup,Group 2,Yugoslavia,7,Miljan Miljanić,22,3,5,8,6,0,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads
1974,1974 FIFA World Cup,Group 2,Zaire,8,Blagoje Vidinić,22,3,6,8,5,0,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads
1974,1974 FIFA World Cup,Group 3,Netherlands,9,Rinus Michels,22,3,8,7,4,0,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads
1974,1974 FIFA World Cup,Group 3,Sweden,10,Georg Ericson,22,3,6,10,3,0,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads
1974,1974 FIFA World Cup,Group 3,Uruguay,11,Roberto Porta,22,3,8,6,5,0,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads
1974,1974 FIFA World Cup,Group 3,Bulgaria,12,Hristo Mladenov,22,3,6,6,7,0,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads
1974,1974 FIFA World Cup,Group 4,Poland,13,Kazimierz Górski,22,3,6,5,8,0,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads
1974,1974 FIFA World Cup,Group 4,Italy,14,Ferruccio Valcareggi,22,3,7,7,5,0,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads
1974,1974 FIFA World Cup,Group 4,Argentina,15,Vladislao Cap,22,3,7,7,5,0,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads
1974,1974 FIFA World Cup,Group 4,Haiti,16,Antoine Tassy,22,3,8,6,5,0,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads
1978,1978 FIFA World Cup,Group 1,Argentina,1,César Luis Menotti,22,3,6,8,5,0,https://en.wikipedia.org/wiki/1978_FIFA_World_Cup_squads
1978,1978 FIFA World Cup,Group 1,France,2,Michel Hidalgo,22,3,7,8,4,0,https://en.wikipedia.org/wiki/1978_FIFA_World_Cup_squads
1978,1978 FIFA World Cup,Group 1,Hungary,3,Lajos Baróti,22,3,6,7,6,0,https://en.wikipedia.org/wiki/1978_FIFA_World_Cup_squads
1978,1978 FIFA World Cup,Group 1,Italy,4,Enzo Bearzot,22,3,7,8,4,0,https://en.wikipedia.org/wiki/1978_FIFA_World_Cup_squads
1978,1978 FIFA World Cup,Group 2,Mexico,5,José Antonio Roca,22,2,8,6,6,0,https://en.wikipedia.org/wiki/1978_FIFA_World_Cup_squads
1978,1978 FIFA World Cup,Group 2,Poland,6,Jacek Gmoch,22,3,8,6,5,0,https://en.wikipedia.org/wiki/1978_FIFA_World_Cup_squads
1978,1978 FIFA World Cup,Group 2,Tunisia,7,Abdelmajid Chetali,22,3,6,5,8,0,https://en.wikipedia.org/wiki/1978_FIFA_World_Cup_squads
1978,1978 FIFA World Cup,Group 2,West Germany,8,Helmut Schön,22,3,5,7,7,0,https://en.wikipedia.org/wiki/1978_FIFA_World_Cup_squads
1978,1978 FIFA World Cup,Group 3,Austria,9,Helmut Senekowitsch,22,3,7,7,5,0,https://en.wikipedia.org/wiki/1978_FIFA_World_Cup_squads
1978,1978 FIFA World Cup,Group 3,Brazil,10,Cláudio Coutinho,22,3,8,5,6,0,https://en.wikipedia.org/wiki/1978_FIFA_World_Cup_squads
1978,1978 FIFA World Cup,Group 3,Spain,11,Ladislao Kubala,22,3,8,5,6,0,https://en.wikipedia.org/wiki/1978_FIFA_World_Cup_squads
1978,1978 FIFA World Cup,Group 3,Sweden,12,Georg Ericson,22,3,7,6,6,0,https://en.wikipedia.org/wiki/1978_FIFA_World_Cup_squads
1978,1978 FIFA World Cup,Group 4,Iran,13,Heshmat Mohajerani,22,3,7,6,6,0,https://en.wikipedia.org/wiki/1978_FIFA_World_Cup_squads
1978,1978 FIFA World Cup,Group 4,Netherlands,14,Ernst Happel,22,3,8,7,4,0,https://en.wikipedia.org/wiki/1978_FIFA_World_Cup_squads
1978,1978 FIFA World Cup,Group 4,Peru,15,Marcos Calderón,22,3,6,8,5,0,https://en.wikipedia.org/wiki/1978_FIFA_World_Cup_squads
1978,1978 FIFA World Cup,Group 4,Scotland,16,Ally MacLeod,22,3,7,6,6,0,https://en.wikipedia.org/wiki/1978_FIFA_World_Cup_squads
1982,1982 FIFA World Cup,Group 1,Cameroon,1,Jean Vincent,22,3,7,7,5,0,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_squads
1982,1982 FIFA World Cup,Group 1,Italy,2,Enzo Bearzot,22,3,7,7,5,0,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_squads
